day,on_frac,q_unknown_map,q_true
3.859027862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.862500190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.865972757339477539e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.869444608688354492e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.872916936874389648e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.876389503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.879861116409301758e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.883333444595336914e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.886806249618530273e+00,-4.000000059604644775e-01,-2.871148347854614258e+00,-3.600000143051147461e+00
3.890277862548828125e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.893750190734863281e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.897222757339477539e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.900694608688354492e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.904166936874389648e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.907639503479003906e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.911111116409301758e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.914583444595336914e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.918056249618530273e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.921527862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.925000190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.928472757339477539e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.931944608688354492e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.935416936874389648e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.938889503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.942361116409301758e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.945833444595336914e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.949306249618530273e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.952777862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.956250190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.959722757339477539e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.963194608688354492e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.966666936874389648e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.970139503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.973611116409301758e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.977083444595336914e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.980556249618530273e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.984027862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.987500190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.990972757339477539e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.994444608688354492e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.997916936874389648e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.001389503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.004861354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.008333683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.011806011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.015277862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.018750190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.022222995758056641e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.025694370269775391e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.029166698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.032639503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.036111354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.039583683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.043056011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.046527862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.050000190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.053472995758056641e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.056944370269775391e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.060416698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.063889503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.067361354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.070833683013916016e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.074306011199951172e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.077777862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.081250190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.084722995758056641e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.088194370269775391e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.091666698455810547e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.095139503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.098611354827880859e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
